sample_id,rock_type,angle_deg,old_label,new_primary_mode,locus,mechanism,n_points,frac_of_specimen,frac_of_old_label,mixed_flag,mixed_flag_frac,secondary_descriptor,ambiguous,mapping_rule,source,granularity
1,Augen gneiss,0.0,tensile,WT,weak_plane,tensile,10133,0.5191883998565353,0.9798858911130451,False,0.0033553735320240798,MS-WT,True,"old='tensile' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='WT': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
1,Augen gneiss,0.0,tensile,MT,matrix,tensile,208,0.010657375621253266,0.02011410888695484,False,0.07692307692307693,MT-WT,True,"old='tensile' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='MT': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
1,Augen gneiss,0.0,shear,WS,weak_plane,shear,28,0.001434646718245632,0.012797074954296161,False,0.14285714285714285,MS-WS,True,"old='shear' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='WS': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
1,Augen gneiss,0.0,shear,MS,matrix,shear,2108,0.10800840293077829,0.9634369287020109,False,0.0018975332068311196,MS-WT,True,"old='shear' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='MS': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
1,Augen gneiss,0.0,shear,no_failure,none,none,52,0.0026643439053133165,0.02376599634369287,False,0.0,MS-WS,True,"old='shear' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='no_failure': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
1,Augen gneiss,0.0,mixed,WT,weak_plane,tensile,1272,0.06517395091458729,0.5104333868378812,False,0.38522012578616355,MS-WT,True,"old='mixed' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='WT': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
1,Augen gneiss,0.0,mixed,MS,matrix,shear,1220,0.06250960700927397,0.4895666131621188,False,0.4016393442622951,MS-WT,True,"old='mixed' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='MS': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
1,Augen gneiss,0.0,no_failure,no_failure,none,none,4496,0.2303632730440129,1.0,False,0.0,MS-WT,False,old='no_failure' -> new='no_failure'; both classifiers agree the point-wise utility stays below util_min on the same stress state,cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
2,Augen gneiss,15.0,tensile,WT,weak_plane,tensile,9549,0.489265768304555,0.9857541034375967,False,0.0031416902293433867,MS-WT,True,"old='tensile' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='WT': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
2,Augen gneiss,15.0,tensile,MT,matrix,tensile,138,0.007070758825639186,0.01424589656240322,False,0.15942028985507245,MT-WT,True,"old='tensile' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='MT': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
